ID,x,y
296,26.609,-20.578
297,22.258,-15.006
298,13.931,-7.202
299,71.406,-63.18
300,70.979,-63.62
301,23.062,-15.677
302,45.006,-37.619
303,54.928,-46.829
304,24.031,-23.342
305,9.272,-0.217
306,71.884,-62.596
307,60.049,-51.661
308,60.158,-51.538
309,71.661,-62.854
310,9.382,-0.105
311,71.272,-63.276
312,70.467,-64.142
313,2.472,4.486
314,20.902,-13.644
315,23.148,-15.725
316,22.762,-15.345
317,2.432,-4.13
318,5.301,-10.658
319,4.333,-5.364
320,25.203,-17.826
321,10.009,-5.644
322,-1.73,0.52
323,4.946,-11.048
324,4.651,-11.381
325,5.045,-10.927
326,5.003,-10.969
327,4.735,-11.259
328,16.985,-26.35
329,16.997,-26.371
330,16.44,-25.832
331,16.408,-25.81
332,4.511,-11.525
333,4.329,-5.355
334,3.603,-14.109
335,3.961,-12.146
336,3.571,-14.062
337,4.015,-12.133
338,4.303,-11.682
339,3.661,-12.513
340,3.832,-14.288
341,14.001,-23.87
342,14.518,-24.107
343,14.448,-24.079
344,14.962,-24.527
345,14.879,-24.454
346,15.151,-24.709
347,11.918,-3.496
348,14.125,-23.76
349,17.898,-27.068
350,3.906,-14.348
351,33.253,-30.48
352,42.815,-39.406
353,50.545,-46.793
354,70.037,-64.596
355,-0.175,-1.953
356,18.772,-11.73
357,44.855,-37.774
358,46.812,-39.183
359,26.416,-20.145
360,56.942,-48.221
361,15.57,-8.65
362,55.007,-46.359
363,11.973,-5.465
364,11.919,-5.441
365,11.96,-5.467
366,41.316,-34.062
367,55.076,-46.573
368,22.962,-24.56
369,11.906,-1.918
370,11.775,-1.869
371,3.577,-12.508
372,3.252,-13.712
373,3.123,-13.086
374,3.312,-12.908
375,2.978,-13.164
376,3.264,-13.706
377,2.583,-12.93
378,3.161,-13.068
379,2.655,-12.843
380,2.285,-13.792
381,2.132,-14.066
382,2.286,-13.783
383,-0.731,-11.426
384,1.504,-8.422
385,-0.745,-11.448
386,1.555,-8.266
387,1.548,-8.315
388,0.773,-13.179
389,1.18,-13.301
