Id, Image, Time, X, Y, Z, Heading, Roll, Pitch, Camera, Quality, Line, Color, AccuracyXyz
1,p000000.jpg,1726507930.1512,-0.1648,0.0039,0.2910,-0.0193,-0.5862,1.4294,0,1,0,C0;0;0;0;0;0,0.1
2,p000001.jpg,1726507931.1512,-0.1585,-0.0000,0.2835,0.0334,-0.4847,1.4516,0,1,0,C0;0;0;0;0;0,0.1
3,p000002.jpg,1726507932.1512,-0.1576,0.0046,0.2826,0.0144,-0.5046,1.3378,0,1,0,C0;0;0;0;0;0,0.1
4,p000003.jpg,1726507933.1932,-0.1571,0.0059,0.2881,-0.1163,-0.5003,1.5259,0,1,0,C0;0;0;0;0;0,0.1
5,p000004.jpg,1726507934.1932,-0.1425,0.0040,0.2861,-0.2175,-0.4012,1.4497,0,1,0,C0;0;0;0;0;0,0.1
6,p000005.jpg,1726507935.1932,-0.1568,-0.0021,0.2930,-0.3146,-0.4634,1.4721,0,1,0,C0;0;0;0;0;0,0.1
7,p000006.jpg,1726507936.1932,-0.1535,-0.0128,0.2882,-0.2257,-0.4583,1.4905,0,1,0,C0;0;0;0;0;0,0.1
8,p000007.jpg,1726507937.2342,-0.1577,-0.0105,0.2914,-0.2348,-0.5008,1.4071,0,1,0,C0;0;0;0;0;0,0.1
9,p000008.jpg,1726507938.2342,-0.1659,-0.0121,0.2988,-0.3149,-0.3330,1.4251,0,1,0,C0;0;0;0;0;0,0.1
10,p000009.jpg,1726507939.2342,-0.1527,-0.0073,0.2924,-0.2430,-0.2600,1.3374,0,1,0,C0;0;0;0;0;0,0.1
11,p000010.jpg,1726507940.2342,-0.1671,-0.0049,0.2963,-0.2900,-0.3828,1.4104,0,1,0,C0;0;0;0;0;0,0.1
12,p000011.jpg,1726507941.2762,-0.1530,-0.0016,0.2880,-0.1723,-0.4145,1.4444,0,1,0,C0;0;0;0;0;0,0.1
13,p000012.jpg,1726507942.2762,-0.1512,0.0017,0.2866,-0.2148,-0.4216,1.4794,0,1,0,C0;0;0;0;0;0,0.1
