id,x,y
971,85239.0965,446948.5002
972,85238.68469,446947.9871
973,85239.0867,446948.4822
974,85238.6711,446947.9686
975,85237.5273,446946.5554
976,85234.2267,446942.565
977,85232.6008,446940.7001
978,85221.7453,446927.2341
979,85220.75211,446926.0569
980,85239.0246,446948.3821
981,85238.54871,446947.7935
982,85239.1134,446948.4672
983,85238.6855,446947.955
984,85233.97,446942.2415
985,85231.403,446939.2862
986,85236.7803,446962.7916
987,85233.85719,446942.1407
988,85226.1275,446932.7507
989,85225.9962,446932.5926
990,85217.29829,446921.9739
991,85217.55119,446922.4859
992,85220.6745,446926.1373
993,85219.47079,446924.6873
994,85228.43581,446935.6028
995,85216.3176,446925.5867
996,85219.0916,446924.0496
997,85225.08211,446931.3216
998,85225.87379,446932.4459
999,85231.5285,446939.425
1000,85240.40421,446953.7581
1001,85235.6375,446944.2371
1002,85233.1497,446946.1102
1003,85236.3924,446945.1752
1004,85230.1996,446942.511
1005,85234.2289,446947.4794
1006,85235.02409,446948.3447
1007,85235.0372,446948.3351
1008,85236.6259,446963.1143
1009,85246.8463,446955.8357
1010,85246.4818,446955.3228
1011,85235.3362,446948.6989
1012,85237.3443,446963.945
1013,85246.6656,446955.6309
1014,85246.47079,446955.1201
1015,85235.39639,446948.8149
1016,85235.38831,446948.8162
1017,85244.8634,446953.8478
1018,85229.9752,446937.5424
1019,85220.0627,446930.0284
1020,85227.0499,446933.7835
1021,85236.1432,446949.6395
1022,85230.0024,446942.2839
1023,85236.1125,446949.6616
1024,85231.0464,446938.8951
1025,85227.3678,446934.183
1026,85224.04919,446935.059
1027,85223.6143,446936.2772
1028,85236.25349,446949.8149
1029,85223.6376,446936.2601
1030,85223.7914,446934.7606
1031,85232.1653,446944.7302
1032,85233.98621,446947.2017
1033,85235.95641,446961.907
1034,85247.1391,446955.9579
1035,85247.0919,446955.9962
1036,85231.5296,446944.1906
1037,85239.3327,446948.7551
1038,85239.4451,446948.8967
1039,85239.5052,446948.9628
1040,85219.0061,446928.8206
1041,85236.3325,446950.0419
1042,85239.5627,446949.0544
1043,85236.547,446950.2922
1044,85239.69009,446949.1832
1045,85239.7267,446949.2217
1046,85239.4491,446948.8884
1047,85239.75929,446949.3157
1048,85226.96111,446933.6171
1049,85224.53149,446935.2209
1050,85225.87199,446932.2957
1051,85235.24091,446943.7344
1052,85213.66811,446922.2348
1053,85214.8111,446923.6291
1054,85223.8542,446934.7291
1055,85240.0244,446949.5734
1056,85236.608,446950.3917
1057,85240.0495,446949.6236
1058,85237.6452,446946.687
1059,85237.6828,446946.7166
1060,85240.12131,446949.6952
1061,85237.69881,446946.854
1062,85240.22681,446949.9138
1063,85240.2151,446949.8492
1064,85233.44659,446946.5324
1065,85240.4442,446950.1342
1066,85240.505,446950.1874
1067,85229.44991,446936.9141
1068,85228.75771,446936.0622
1069,85218.4929,446928.1982
1070,85245.04311,446953.6842
1071,85240.60361,446950.321
1072,85232.2312,446940.3141
1073,85223.10451,446936.6799
1074,85240.87579,446950.6414
1075,85213.8522,446922.5632
1076,85237.84261,446946.966
1077,85240.90649,446950.6686
1078,85240.56329,446950.2839
1079,85240.76041,446950.53
1080,85240.8972,446950.6931
1081,85241.222,446951.0313
1082,85241.07961,446950.8999
1083,85241.5715,446951.5625
1084,85241.2675,446951.1276
1085,85241.0569,446950.8545
1086,85241.2841,446951.1346
1087,85241.5782,446951.496
1088,85234.9319,446960.9253
1089,85241.91161,446951.8946
1090,85241.912,446951.9105
1091,85234.7518,446960.9161
1092,85244.4875,446972.6926
1093,85245.01781,446953.6122
1094,85233.9254,446959.4036
1095,85252.51469,446962.7291
1096,85242.2825,446970.1162
1097,85234.41991,446942.8773
1098,85234.47459,446942.7305
1099,85212.282,446921.072
1100,85226.62151,446933.1285
1101,85219.06149,446929.0045
1102,85202.3353,446908.4238
1103,85201.3824,446906.0895
1104,85240.81461,446968.3082
1105,85217.9684,446927.468
1106,85219.0497,446923.9276
1107,85248.2388,446957.4973
1108,85216.7972,446926.1464
1109,85219.44859,446924.527
1110,85230.37061,446938.1085
1111,85218.9782,446928.9457
1112,85212.9521,446921.3832
1113,85216.6788,446926.065
1114,85218.25661,446928.0173
1115,85229.8172,446942.1311
1116,85212.5304,446921.0292
1117,85209.4875,446917.3141
1118,85208.8734,446916.5593
1119,85207.95979,446915.4561
1120,85207.38741,446914.7458
1121,85230.70599,446943.2094
1122,85228.0524,446935.2266
1123,85236.84019,446950.6763
1124,85236.9487,446950.7914
1125,85236.923,446950.786
1126,85237.0768,446950.9605
1127,85215.1666,446924.0509
1128,85217.3549,446926.7418
1129,85237.2863,446951.2195
1130,85237.2292,446951.1535
1131,85228.43381,446935.6618
1132,85225.18491,446936.4178
1133,85232.2675,446944.8682
1134,85235.605,446949.1629
1135,85237.4995,446951.489
1136,85237.59509,446951.6013
1137,85237.78259,446951.8539
1138,85237.7039,446951.7555
1139,85225.4062,446936.8422
1140,85220.0191,446930.2243
1141,85238.3114,446952.4993
1142,85238.20731,446952.3518
1143,85220.07021,446930.1422
1144,85238.4093,446952.6066
1145,85237.99969,446952.1034
1146,85235.6711,446949.2594
1147,85238.3248,446952.4747
1148,85238.5901,446952.7875
1149,85237.98621,446952.0386
1150,85238.1169,446952.216
1151,85234.5574,446947.8752
1152,85244.4691,446952.8906
1153,85238.7578,446953.0153
1154,85232.6769,446945.4137
1155,85233.1599,446941.4495
1156,85245.22141,446953.5844
1157,85226.174,446937.6179
1158,85231.7103,446944.436
1159,85233.83459,446947.0245
1160,85225.7989,446937.197
1161,85225.7626,446937.1028
1162,85203.7832,446910.2255
1163,85226.8761,446938.3057
1164,85238.6286,446952.8764
1165,85238.9776,446953.3318
1166,85239.0211,446953.3585
1167,85239.31281,446953.717
1168,85208.50729,446915.9354
1169,85210.5388,446918.4338
1170,85231.1272,446943.6978
1171,85239.0887,446953.4689
1172,85239.4081,446953.816
1173,85225.1274,446936.3099
1174,85239.26241,446953.6256
1175,85239.589,446954.0143
1176,85233.00999,446941.235
1177,85239.80321,446954.0897
1178,85242.0836,446952.1669
1179,85239.1156,446953.4725
1180,85245.1974,446953.5921
1181,85242.047,446952.0975
1182,85241.99741,446952.4377
1183,85215.0421,446924.022
1184,85226.3709,446937.9152
1185,85224.7009,446935.807
1186,85235.786,446949.4025
1187,85242.14729,446952.3057
1188,85242.02209,446952.4116
1189,85241.51939,446952.8238
1190,85230.7975,446938.5476
1191,85204.53419,446911.2522
1192,85239.74181,446954.0502
1193,85240.3566,446953.7854
1194,85239.91119,446954.1681
1195,85239.7674,446954.0332
1196,85239.36079,446953.7186
1197,85208.5088,446916.4914
1198,85200.7639,446906.8442
1199,85207.4754,446915.3599
1200,85226.4655,446938.1107
1201,85229.7435,446937.3198
1202,85221.48981,446931.8092
1203,85226.69341,446938.2739
1204,85234.4537,446942.7902
1205,85213.0486,446921.5565
1206,85212.3701,446920.7224
1207,85212.103,446920.3934
1208,85221.2552,446931.556
1209,85226.8678,446938.4274
1210,85221.20641,446931.4726
1211,85230.7639,446943.2045
1212,85203.396,446904.6414
1213,85231.1347,446938.9168
1214,85221.4008,446931.684
1215,85232.9537,446945.8719
1216,85221.5567,446926.8984
1217,85227.0517,446938.6836
1218,85221.4827,446926.8475
1219,85227.3427,446939.0082
1220,85230.7412,446943.1933
1221,85231.9769,446944.7496
1222,85227.36481,446939.0566
1223,85227.38921,446934.1823
1224,85231.7093,446939.343
1225,85224.9041,446936.104
1226,85208.8391,446911.9567
1227,85227.3248,446939.1291
1228,85221.4675,446931.9837
1229,85216.9129,446926.4014
1230,85216.5184,446925.9203
1231,85225.3087,446936.6301
1232,85232.11279,446944.9473
1233,85234.5851,446942.9669
1234,85228.93449,446936.345
1235,85233.44971,446946.671
1236,85220.78481,446931.2021
1237,85227.5468,446939.3474
1238,85227.68649,446939.4949
1239,85219.3017,446929.2249
1240,85227.71899,446939.5558
1241,85225.0687,446936.2306
1242,85218.5965,446928.1691
1243,85221.5995,446932.0297
1244,85226.2222,446937.5949
1245,85215.9257,446925.0333
1246,85214.8717,446923.7433
1247,85221.7919,446932.2349
1248,85227.9008,446939.7413
1249,85234.7639,446943.2231
1250,85212.9281,446921.3552
1251,85228.02029,446939.9197
1252,85234.8223,446943.3335
1253,85236.35201,446950.0646
1254,85228.20219,446940.0453
1255,85228.2244,446940.0603
1256,85218.3279,446922.7513
1257,85233.7368,446946.8453
1258,85221.9538,446932.3453
1259,85222.1114,446932.5438
1260,85227.0833,446938.6491
1261,85226.6051,446938.0648
1262,85226.7343,446938.2205
1263,85228.3961,446940.2692
1264,85227.1825,446938.7806
1265,85231.0787,446943.6158
1266,85233.96719,446947.1389
1267,85228.4153,446940.35
1268,85222.1265,446932.6307
1269,85228.44881,446940.416
1270,85206.9966,446914.1192
1271,85220.24271,446930.3478
1272,85220.3456,446930.5691
1273,85208.0318,446915.5319
1274,85222.30299,446932.9248
1275,85234.74471,446943.1575
1276,85232.4115,446945.253
1277,85219.5444,446929.7107
1278,85234.7657,446947.9158
1279,85234.2523,446947.4891
1280,85228.6834,446940.7408
1281,85221.7731,446932.2366
1282,85213.7007,446922.4323
1283,85210.2666,446918.1697
1284,85228.7076,446940.7457
1285,85217.0215,446926.3851
1286,85228.78641,446940.8412
1287,85203.85921,446910.3435
1288,85222.3528,446932.965
1289,85221.1292,446931.4487
1290,85226.7226,446933.3466
1291,85214.8782,446927.9224
1292,85206.19679,446913.0893
1293,85222.1076,446927.6177
1294,85222.4382,446932.9667
1295,85228.98039,446941.0195
1296,85228.84669,446940.8663
1297,85231.3784,446943.9823
1298,85226.4839,446937.9412
1299,85229.14211,446941.2139
1300,85221.9782,446927.4143
1301,85222.59171,446933.1215
1302,85227.5289,446939.236
1303,85230.7847,446943.715
1304,85222.5222,446933.1392
1305,85229.15939,446941.2837
1306,85230.8022,446943.7697
1307,85207.5656,446914.8536
1308,85217.38499,446926.8203
1309,85215.4438,446924.5352
1310,85205.04131,446911.8472
1311,85227.85851,446939.6735
1312,85214.8194,446923.7841
1313,85215.2554,446924.3046
1314,85216.8269,446926.1923
1315,85222.2205,446927.857
1316,85229.32761,446941.5335
1317,85204.12241,446910.7981
1318,85229.3185,446941.506
1319,85222.2382,446927.9331
1320,85226.8179,446933.5848
1321,85222.53419,446928.2689
1322,85229.4886,446941.6581
1323,85231.3101,446944.1517
1324,85222.6781,446928.4186
1325,85220.6131,446930.7552
1326,85208.31889,446915.8164
1327,85228.2596,446940.1617
1328,85209.3033,446916.9108
1329,85222.653,446933.306
1330,85225.9747,446933.003
1331,85222.8669,446928.5905
1332,85213.9203,446917.7379
1333,85222.76759,446933.4197
1334,85223.0499,446933.6492
1335,85229.5148,446941.7266
1336,85220.2506,446930.2644
1337,85222.5226,446936.7115
1338,85229.7393,446941.9982
1339,85231.0937,446944.1703
1340,85222.98061,446928.7378
1341,85223.0925,446928.862
1342,85207.17619,446914.298
1343,85222.90469,446937.1941
1344,85228.6167,446940.6104
1345,85223.226,446929.0536
1346,85212.8045,446921.2551
1347,85222.7661,446933.4777
1348,85213.6198,446922.2872
1349,85222.84081,446937.2745
1350,85212.2594,446920.5706
1351,85212.1382,446920.469
1352,85215.1673,446924.1729
1353,85211.01199,446919.1693
1354,85209.4817,446917.3066
1355,85216.26559,446925.5138
1356,85230.48039,446942.4053
1357,85229.1042,446941.1799
1358,85213.85201,446917.8218
1359,85223.40269,446929.3165
1360,85223.4294,446929.3489
1361,85223.0498,446933.8242
1362,85223.08321,446933.8428
1363,85219.01849,446923.8708
1364,85227.0946,446933.7912
1365,85223.77119,446929.6985
1366,85206.5466,446913.6143
1367,85211.373,446919.4967
1368,85223.7979,446929.7802
1369,85206.6425,446913.801
1370,85223.1618,446933.9719
1371,85209.2254,446916.8638
1372,85229.66029,446941.8347
1373,85223.8838,446929.8728
1374,85211.03729,446919.0674
1375,85224.0874,446930.1851
1376,85214.78461,446923.7673
1377,85227.27879,446934.0535
1378,85224.1813,446930.2946
1379,85208.7859,446911.9896
1380,85221.1825,446931.5647
1381,85209.8024,446917.7
1382,85224.19431,446930.3021
1383,85210.7659,446918.7994
1384,85205.09241,446911.8978
1385,85210.7691,446914.2968
1386,85218.6075,446923.4129
1387,85222.14301,446932.656
1388,85216.323,446925.5477
1389,85223.42059,446934.2788
1390,85223.40781,446934.2402
1391,85210.6218,446918.5723
1392,85206.5174,446913.5898
1393,85205.17261,446911.9828
1394,85204.6226,446911.3166
1395,85203.7444,446910.1689
1396,85206.9902,446914.1338
1397,85207.4794,446914.7428
1398,85225.3185,446937.1056
1399,85215.83971,446924.9279
1400,85223.49229,446934.3632
1401,85225.3231,446937.1309
1402,85224.3044,446930.2332
1403,85201.3826,446907.3125
1404,85218.8345,446928.655
1405,85223.01801,446934.1227
1406,85213.978,446922.8253
1407,85208.72881,446916.5733
1408,85223.7153,446934.6583
1409,85225.666,446937.5292
1410,85225.67841,446937.539
1411,85222.9964,446934.24
1412,85225.1703,446931.2518
1413,85224.9758,446931.2489
1414,85218.66141,446923.3901
1415,85215.6761,446919.7726
1416,85214.99831,446918.9789
1417,85215.6517,446919.7596
1418,85215.2981,446919.3372
1419,85214.89149,446918.8406
1420,85214.455,446918.2996
1421,85210.91991,446914.3568
1422,85207.95351,446915.2711
1423,85209.8102,446917.5441
